feature_name,agop_mean_importance,agop_std_importance,agop_max_importance,num_leaves_detected,pca_importance,mi_importance,permutation_importance,rank_agop,rank_pca,rank_mi,rank_permutation,mean_rank,rank_spread
mszoning_RL,2.0365311700939793e-06,,2.0365311700939793e-06,1,0.016341244984804965,0.03826063981763661,0.11803573354045512,85.0,53.0,67.0,49.0,63.5,36.0
salecondition_Family,1.5507961809159733e-06,,1.5507961809159733e-06,1,0.0009810861783770908,0.0,0.026407185949938138,86.0,201.0,252.0,61.0,150.0,191.0
fence_MnPrv,1.3638907981662883e-06,,1.3638907981662883e-06,1,0.0052881951553267635,0.0,-0.035152140277932634,87.0,107.0,252.0,255.0,175.25,168.0
exterior2nd_Stucco,1.299002805347048e-06,,1.299002805347048e-06,1,0.0021910535477502376,0.0,-0.013199585319671314,88.0,159.0,252.0,249.0,187.0,164.0
bsmtfintype1_LwQ,9.504875703457914e-07,,9.504875703457914e-07,1,0.003999996871560767,0.013163549781299855,0.02926292315023602,89.0,123.0,131.0,59.0,100.5,72.0
bsmtqual_Gd,8.715205805027765e-07,,8.715205805027765e-07,1,0.02537570159753298,0.18719858674701761,0.023801885038847104,90.0,37.0,19.0,63.0,52.25,71.0
lowqualfinsf,8.316536060283628e-07,,8.316536060283628e-07,1,0.017077270364099378,0.0004165008814664972,0.09068181948314305,91.0,49.0,215.0,51.0,101.5,166.0
neighborhood_Somerst,6.813947680186678e-07,,6.813947680186678e-07,1,0.006022822553754068,0.04111695923607184,0.04166632561245933,92.0,101.0,64.0,56.0,78.25,45.0
exterior2nd_Plywood,4.768654907935974e-07,,4.768654907935974e-07,1,0.00434211505454145,0.008447977669899576,0.018895734338730107,93.0,118.0,158.0,67.0,109.0,91.0
bsmtexposure_Av,4.48258091429476e-07,,4.48258091429476e-07,1,0.008814855351966203,0.04081815370430397,-0.010629328507639002,94.0,85.0,65.0,248.0,123.0,183.0
landcontour_Bnk,4.071757506701629e-07,,4.071757506701629e-07,1,0.0040180125228965954,0.025726531880118975,-0.02612640563311288,95.0,122.0,88.0,254.0,139.75,166.0
extercond_TA,4.0021904887992584e-07,,4.0021904887992584e-07,1,0.007410221429761875,0.018247406933190602,-0.03952506064815679,96.0,92.0,108.0,257.0,138.25,165.0
roofstyle_Hip,3.8231864597628314e-07,,3.8231864597628314e-07,1,0.010987248522786963,0.013931930338106246,0.013283551984932274,97.0,66.0,127.0,73.0,90.75,61.0
exterior2nd_Wd Shng,3.102966480666649e-07,,3.102966480666649e-07,1,0.0010909975299261687,8.104323140267766e-05,0.015321145546477056,98.0,199.0,223.0,71.0,147.75,152.0
bsmtunfsf,2.7561348844998193e-07,,2.7561348844998193e-07,1,0.056265972925811245,0.12698760410148946,0.03688842339470284,99.0,13.0,27.0,58.0,49.25,86.0
neighborhood_MeadowV,2.6273303544275627e-07,,2.6273303544275627e-07,1,0.0018859866092309366,0.013710814977526464,0.004459253883396741,100.0,173.0,128.0,79.0,120.0,94.0
bsmthalfbath,2.411236266780218e-07,,2.411236266780218e-07,1,0.016479466826171126,0.005787443585185459,0.14930855965503725,101.0,52.0,171.0,47.0,92.75,124.0
masvnrtype_BrkFace,2.27248736597592e-07,,2.27248736597592e-07,1,0.008801810257443357,0.046196254246777535,-0.03688563488249201,102.0,86.0,59.0,256.0,125.75,197.0
